t_s,t_h,C_h2o_out_mol_m3,C_co2_out_mol_m3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,1.666666666666666644e-02,2.112600639778528642e-13,-3.086315863420601211e-14
1.200000000000000000e+02,3.333333333333333287e-02,2.115879779306610532e-13,3.761539957188271939e-16
1.800000000000000000e+02,5.000000000000000278e-02,2.120332611207686658e-13,-3.547891243281141230e-10
2.400000000000000000e+02,6.666666666666666574e-02,2.174957239006486055e-13,4.701118378348249089e-14
3.000000000000000000e+02,8.333333333333332871e-02,2.401486795500666845e-13,4.720703613997049849e-14
3.600000000000000000e+02,1.000000000000000056e-01,2.562831428222295921e-13,4.725721141544192928e-14
4.200000000000000000e+02,1.166666666666666685e-01,2.618051398323039374e-13,4.765925648387503340e-14
4.800000000000000000e+02,1.333333333333333315e-01,2.666184035278690337e-13,4.958522832047687669e-14
5.400000000000000000e+02,1.499999999999999944e-01,2.721295603309076881e-13,5.209504451940595237e-14
6.000000000000000000e+02,1.666666666666666574e-01,2.777354022827656575e-13,5.334803555337920542e-14
6.600000000000000000e+02,1.833333333333333204e-01,2.828118336973739171e-13,5.393570187206889899e-14
7.200000000000000000e+02,2.000000000000000111e-01,2.869804214686109675e-13,5.449081806867995424e-14
7.800000000000000000e+02,2.166666666666666741e-01,2.901426686967786111e-13,5.506530374122410598e-14
8.400000000000000000e+02,2.333333333333333370e-01,2.924046218360475262e-13,5.558640233864220051e-14
9.000000000000000000e+02,2.500000000000000000e-01,2.939672584784116353e-13,5.599457791913726937e-14
9.600000000000000000e+02,2.666666666666666630e-01,2.950386906786016211e-13,5.626360875750766516e-14
1.020000000000000000e+03,2.833333333333333259e-01,2.957889829889521178e-13,5.639692766313719802e-14
1.080000000000000000e+03,2.999999999999999889e-01,2.963413393196627410e-13,5.641573398354567323e-14
1.140000000000000000e+03,3.166666666666666519e-01,2.967811859595405481e-13,5.634692261412376531e-14
1.200000000000000000e+03,3.333333333333333148e-01,2.971669319317737119e-13,5.621515140208012653e-14
1.260000000000000000e+03,3.499999999999999778e-01,2.975364179890074831e-13,5.603971283100799690e-14
1.320000000000000000e+03,3.666666666666666408e-01,2.979113200793881387e-13,5.583463383093468101e-14
1.380000000000000000e+03,3.833333333333333592e-01,2.983024985310165745e-13,5.560990961882169078e-14
1.440000000000000000e+03,4.000000000000000222e-01,2.987154561631747788e-13,5.537256295757253071e-14
1.500000000000000000e+03,4.166666666666666852e-01,2.991532011608198252e-13,5.512732328190310800e-14
1.560000000000000000e+03,4.333333333333333481e-01,2.996161410834531751e-13,5.487723567337431414e-14
1.620000000000000000e+03,4.500000000000000111e-01,3.001015529314132224e-13,5.462431693387248256e-14
1.680000000000000000e+03,4.666666666666666741e-01,3.006047655931759384e-13,5.437005069314696958e-14
1.740000000000000000e+03,4.833333333333333370e-01,3.011212718869204182e-13,5.411555369569831274e-14
1.800000000000000000e+03,5.000000000000000000e-01,3.016475167829240264e-13,5.386154951683355239e-14
1.860000000000000000e+03,5.166666666666667185e-01,3.021798282287725771e-13,5.360841767436617544e-14
1.920000000000000000e+03,5.333333333333333259e-01,3.027133225405935544e-13,5.335638729728442180e-14
1.980000000000000000e+03,5.500000000000000444e-01,3.032424451290564184e-13,5.310570076596536435e-14
2.040000000000000000e+03,5.666666666666666519e-01,3.037624739725701139e-13,5.285659738289249925e-14
2.100000000000000000e+03,5.833333333333333703e-01,3.042700118560178627e-13,5.260919714913426335e-14
2.160000000000000000e+03,5.999999999999999778e-01,3.047619055497378889e-13,5.236347709116406916e-14
2.220000000000000000e+03,6.166666666666666963e-01,3.052341333165035258e-13,5.211938740716155651e-14
2.280000000000000000e+03,6.333333333333333037e-01,3.056821864384750574e-13,5.187695935896321006e-14
2.340000000000000000e+03,6.500000000000000222e-01,3.061024022243619243e-13,5.163627208770858825e-14
2.400000000000000000e+03,6.666666666666666297e-01,3.064924271200441958e-13,5.139733759220671722e-14
2.460000000000000000e+03,6.833333333333333481e-01,3.068502263880136912e-13,5.116006708041403878e-14
2.520000000000000000e+03,6.999999999999999556e-01,3.071729677447709214e-13,5.092436528261400309e-14
2.580000000000000000e+03,7.166666666666666741e-01,3.074573041535991854e-13,5.069022392734962815e-14
2.640000000000000000e+03,7.333333333333332815e-01,3.077006376399642264e-13,5.045769273576068278e-14
2.700000000000000000e+03,7.500000000000000000e-01,3.079016333562955869e-13,5.022677146755824831e-14
2.760000000000000000e+03,7.666666666666667185e-01,3.080592917825910990e-13,4.999737121212685727e-14
2.820000000000000000e+03,7.833333333333333259e-01,3.081718394010948928e-13,4.976939657722554181e-14
2.880000000000000000e+03,8.000000000000000444e-01,3.082369281068524642e-13,4.954283557318775717e-14
2.940000000000000000e+03,8.166666666666666519e-01,3.082528535637924107e-13,4.931773684170115838e-14
3.000000000000000000e+03,8.333333333333333703e-01,3.082191283354999720e-13,4.909410777165444892e-14
